"Notification Category (the why) 
[the user's JTBD/challenge] ","Notification template
[The BSci intervention/solution]",Trigger,Minimum Condition,Parameters,Measure,Example
Help me build my motivation,Help me exercise in DrizzleParkCalOn,time insensitive,"User is at home, Weather = Drizzle, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's drizzling, remember to take an umbrella for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in DrizzleParkCalOff,time insensitive,"User is at home, Weather = Drizzle, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's drizzling, remember to take an umbrella for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in RainCafeCalOn,time insensitive,"User is at home, Weather = Rain, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's raining, remember to take an umbrella for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in RainCafeCalOff,time insensitive,"User is at home, Weather = Rain, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's raining, remember to take an umbrella for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in RainParkCalOn,time insensitive,"User is at home, Weather = Rain, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's raining, remember to take an umbrella for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in RainParkCalOff,time insensitive,"User is at home, Weather = Rain, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's raining, remember to take an umbrella for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in SnowCafeCalOn,time insensitive,"User is at home, Weather = Snow, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's snowing, remember to dress warm for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in SnowCafeCalOff,time insensitive,"User is at home, Weather = Snow, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's snowing, remember to dress warm for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in SnowParkCalOn,time insensitive,"User is at home, Weather = Snow, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's snowing, remember to dress warm for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in SnowParkCalOff,time insensitive,"User is at home, Weather = Snow, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's snowing, remember to dress warm for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in HotCafeCalOn,time insensitive,"User is at home, Weather = Hot, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's hot, remember to dress light and take a break for a cold drink during your walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in HotCafeCalOff,time insensitive,"User is at home, Weather = Hot, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's hot, remember to dress light and take a break for a cold drink during your walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in HotParkCalOn,time insensitive,"User is at home, Weather = Hot, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's hot, remember to dress light and take a break for a cold drink during your walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in HotParkCalOff,time insensitive,"User is at home, Weather = Hot, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's hot, remember to dress light and take a break for a cold drink during your walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in ColdCafeCalOn,time insensitive,"User is at home, Weather = Cold, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's cold, remember to dress warm for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in ColdCafeCalOff,time insensitive,"User is at home, Weather = Cold, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's cold, remember to dress warm for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in ColdParkCalOn,time insensitive,"User is at home, Weather = Cold, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's cold, remember to dress warm for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in ColdParkCalOff,time insensitive,"User is at home, Weather = Cold, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's cold, remember to dress warm for a walk to [location_Name] at [location_address]."
