Notification Header,כותרת ההודעה,Notification Body,גוף ההודעה
"Hello [first_name], superb!","היי [שם_פרטי], נפלא!","You've done [activity_goal] min of activity, hitting your daily goal. Keep going to meet your weekly goal of [current_weekly_goal] min.",השלמת [יעד_פעילות] דקות של פעילות היום הצלחת להגיע ליעד היומי שלך. המשך לעבוד כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], you're amazing!","היי [שם_פרטי], אתה אלוף!",You've achieved your daily activity goal of [activity_goal] min. Don't forget to log your activity in the app.,השגת את יעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hi [first_name], keep it up!","היי [שם_פרטי], המשך לעבוד!",You've reached your daily activity goal of [activity_goal] min. Continue this physical activity to meet your weekly goal of [current_weekly_goal] min.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. המשך בפעילות הגופנית הזו כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], you're on fire!","היי [שם_פרטי], אתה אש!",You've met your daily activity goal of [activity_goal] min. Remember to log your activity in the app.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hi [first_name], keep going!","היי [שם_פרטי], קדימה!",You've met your weekly goal 3 times in a row. Keep up the good work and continue with today's activity.,עמדת ביעד השבועי שלך 3 פעמים ברציפות! אל תפסיק לעבוד והמשך בפעילות היומית שלך.
"Hi [first_name], track your progress!","היי [שם_פרטי], עקוב אחר ההתקדמות שלך!",You've consistently met your weekly goal. Log your activity in the app and see how you're moving towards your overall goal.,עמדת בעקביות ביעד השבועי שלך. תעד את הפעילות שלך באפליקציה כדי שתוכל לראות את ההתקדמות לעבר היעד הכולל.
"Hello [first_name], you're on a roll!","היי [שם_פרטי], אין לך מעצורים!",You've met your weekly goal 3 times in a row. Let's keep the streak alive with today's activity.,עמדת ביעד השבועי שלך 3 פעמים ברציפות! שמור על הרצף גם עם הפעילות של היום.
"Hi [first_name], keep the streak alive!","היי [שם_פרטי], שמור על הרצף!",You're doing great by consistently meeting your weekly goal. Log your activity in the app and keep the streak alive.,אתה מצליח בעקביות לעמוד ביעד השבועי שלך. תעד את הפעילות באפליקציה והמשך ברצף ההצלחות.
"Hi [first_name], let's keep up the momentum!","היי [שם_פרטי], שמור על המומנטום!",You've met your weekly goal 3 times in a row. Maintain the momentum with today's activity.,עמדת ביעד השבועי שלך 3 פעמים ברציפות! שמור על המומנטום גם עם הפעילות של היום.
"Hi [first_name], track your success!","היי [שם_פרטי], עקוב אחר ההצלחה שלך!",You've consistently met your weekly goal. Log your activity in the app and track your success towards your overall goal.,עמדת בעקביות ביעד השבועי שלך. תעד את הפעילות שלך באפליקציה כדי שתוכל לעקוב אחר ההצלחה וההתקדמות לעבר היעד הכולל.
"Hello [first_name], keep pushing forward!","היי [שם_פרטי], לא עוצרים בעליה!",You've met your weekly goal 3 times in a row. Keep pushing forward with today's activity.,עמדת ביעד השבועי שלך 3 פעמים ברציפות! לא עוצרים בעלייה וממשיכים להתקדם גם עם הפעילות של היום.
"Hi [first_name], keep the momentum going!","היי [שם_פרטי], שמור על המומנטום!",You're doing great by consistently meeting your weekly goal. Log your activity in the app and keep the momentum going.,אתה מצליח בעקביות לעמוד ביעד השבועי שלך. תעד את הפעילות שלך באפליקציה ושמור על המומנטום.
"Hi [first_name], let's keep the streak!","היי [שם_פרטי], שמור על הרצף!",You've met your weekly goal 3 times in a row. Let's keep the streak going with today's activity.,עמדת ביעד השבועי שלך 3 פעמים ברציפות! בוא נשמור על הרצף גם עם הפעילות של היום.
"Hi [first_name], track your progress!","היי [שם_פרטי], עקוב אחר ההתקדמות שלך!",You've consistently met your weekly goal. Log your activity in the app and track your progress towards your overall goal.,עמדת בעקביות ביעד השבועי שלך. תעד את הפעילות שלך באפליקציה כדי שתוכל לעקוב אחר ההתקדמות לעבר היעד הכולל.
