JTBD,BSci Intervention,Trigger,Minimum Condition,Parameters,CTA,Measurement,Notification Header,Notification Body,GPT Header Chars,GPT Body Chars,Real Header Chars,Real Body Chars
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,Perform physical activity,# min completed,"Hi [name], awesome work!","You've completed # min of activity today, reaching half of your weekly goal. Keep going!",23,106,24,88
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,manual log physical activity in the app,# min completed,"Hi [name], you're doing great!",You've achieved 50% of your weekly goal with today's # min activity. Don't forget to log it in the app.,27,118,30,103
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,Perform physical activity,# min completed,"Hello [name], keep it up!",You've hit 50% of your weekly goal with today's # min activity. Keep moving!,23,96,25,76
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,manual log physical activity in the app,# min completed,"Hi [name], you're on track!",You've met half of your weekly goal with today's # min activity. Remember to log it in the app.,24,110,27,95
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,Perform physical activity,# min completed,"Hi [name], great progress!",You've reached 50% of your weekly goal with today's # min activity. Keep the momentum!,24,104,26,86
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,manual log physical activity in the app,# min completed,"Hi [name], excellent!","You've completed # min of activity today, achieving half of your weekly goal. Log your activity in the app.",20,122,21,107
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,Perform physical activity,# min completed,"Hello [name], superb!","You've done # min of activity, hitting half of your weekly goal. Keep going to reach 100%!",20,108,21,90
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,manual log physical activity in the app,# min completed,"Hi [name], you're amazing!",You've achieved 50% of your weekly goal with today's # min activity. Don't forget to log your activity in the app.,24,118,26,114
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,Perform physical activity,# min completed,"Hi [name], keep it up!",You've reached 50% of your weekly goal with today's # min activity. Continue this pace to reach 100%!,20,113,22,101
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!2,reached activity goal,progress to weekly goal >= 50%,# min completed OR daily goal amount weekly goal # min activity this week percent weekly goal complete,manual log physical activity in the app,# min completed,"Hi [name], you're on fire!",You've met half of your weekly goal with today's # min activity. Remember to log your activity in the app.,24,113,26,106
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hi [name], morning win!","You've completed # min of activity this morning, reaching your daily goal. Keep the momentum!",22,106,23,93
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], early bird!",You've achieved your daily activity goal of # min this morning. Don't forget to log it in the app.,22,106,22,98
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hello [name], great start!",You've hit your daily activity goal of # min this morning. Keep moving for the rest of the day!,24,108,26,95
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], morning champ!",You've met your daily activity goal of # min this morning. Remember to log your activity in the app.,23,108,25,100
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hi [name], sunrise success!",You've reached your daily activity goal of # min this morning. Keep the energy up for the rest of the day!,24,114,27,106
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], morning glory!","You've completed # min of activity this morning, achieving your daily goal. Log your activity in the app.",23,112,25,105
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hello [name], dawn achiever!","You've done # min of activity this morning, hitting your daily goal. Keep going to reach your weekly goal!",24,114,28,106
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], dawn victory!",You've achieved your daily activity goal of # min this morning. Don't forget to log your activity in the app.,22,106,24,109
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hi [name], sunrise triumph!",You've reached 50% of your daily goal with this morning's # min activity. Continue this pace to reach 100%!,24,113,27,107
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!3,reached activity goal,time = before 12 pm,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], morning star!",You've met half of your daily goal with this morning's # min activity. Remember to log your activity in the app.,23,113,24,112
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,Perform physical activity,-,"Hi [name], quick check!",Have you recorded all your manual activity for the week? It's not too late to meet your goal.,22,90,23,93
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,manual log physical activity in the app,-,"Hi [name], don't forget!",Make sure to log all your manual activity in the app. Every minute counts towards your weekly goal.,21,106,24,99
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,Perform physical activity,-,"Hello [name], a reminder!",Have you logged all your manual activity? Let's reach your weekly goal together.,24,91,25,80
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,manual log physical activity in the app,-,"Hi [name], remember to log!",Don't forget to record all your manual activity in the app. Every step brings you closer to your goal.,24,112,27,102
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,Perform physical activity,-,"Hi [name], keep track!",Have you logged all your manual activity? It's important for reaching your weekly goal.,20,94,22,87
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,manual log physical activity in the app,-,"Hi [name], log your activity!",Make sure to record all your manual activity in the app. Let's meet your weekly goal together.,26,104,29,94
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,Perform physical activity,-,"Hello [name], a quick nudge!",Have you logged all your manual activity? Every bit helps in achieving your weekly goal.,25,97,28,88
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,manual log physical activity in the app,-,"Hi [name], don't miss out!",Don't forget to log all your manual activity in the app. You're on your way to meeting your weekly goal.,25,113,26,104
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,Perform physical activity,-,"Hi [name], keep it up!",Have you recorded all your manual activity? Every bit counts towards your weekly goal. Keep going!,20,103,22,98
Encourage user to open app,did you record all your manual activity,time insensitive,end of week approaching (N-2) goal not met,-,manual log physical activity in the app,-,"Hi [name], stay on track!",Make sure to log all your manual activity in the app. Your weekly goal is within reach.,24,96,25,87
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,Perform physical activity,-,"Hi [name], new week!","Last week's goal wasn't met, but it's a fresh start. Let's aim for the weekly goal with today's activity.",20,116,20,105
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,manual log physical activity in the app,-,"Hi [name], fresh start!",It's a new week. Let's forget about last week and focus on meeting this week's goal. Log your activity in the app.,24,118,23,114
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,Perform physical activity,-,"Hello [name], new beginnings!",Last week is behind us. Let's focus on achieving this week's goal with today's activity.,26,103,29,88
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,manual log physical activity in the app,-,"Hi [name], reset time!",It's a new week. Don't worry about last week. Focus on logging your activity to meet this week's goal.,21,112,22,102
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,Perform physical activity,-,"Hi [name], let's bounce back!","Last week didn't go as planned, but this week can be different. Let's hit the weekly goal with today's activity.",26,125,29,112
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,manual log physical activity in the app,-,"Hi [name], new week ahead!","Last week's goal wasn't met, but this is a new week. Let's focus on logging your activity to meet this week's goal.",24,130,26,115
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,Perform physical activity,-,"Hello [name], fresh week!",Last week is over. Let's make this week count by achieving the weekly goal with today's activity.,23,113,25,97
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,manual log physical activity in the app,-,"Hi [name], it's a new week!","Don't dwell on last week. This week, focus on logging your activity to meet your weekly goal.",24,109,27,93
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,Perform physical activity,-,"Hi [name], let's start fresh!",Last week is in the past. Let's focus on achieving this week's goal with today's activity.,25,108,29,90
Encourage user to open app,fresh start,time insensitive,last week goal not met,weekly goal & daily goal,manual log physical activity in the app,-,"Hi [name], it's a new day!","Last week's goal wasn't met, but it's a new week. Focus on logging your activity to meet this week's goal.",22,116,26,106
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,Perform physical activity,-,"Hi [name], let's have fun!",Exercise doesn't have to be boring. Let's make it fun and meet your weekly goal.,24,86,26,80
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,manual log physical activity in the app,-,"Hi [name], make it enjoyable!",Remember to make your physical activity fun. Log your fun activities in the app.,27,91,29,80
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,Perform physical activity,-,"Hello [name], fun time!",Let's turn your physical activity into a fun game. Aim for your weekly goal.,22,83,23,76
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,manual log physical activity in the app,-,"Hi [name], enjoy your workout!",Make your physical activity enjoyable. Don't forget to log your fun workouts in the app.,26,96,30,88
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,Perform physical activity,-,"Hi [name], let's play!",Turn your physical activity into a playful routine. Let's meet your weekly goal.,20,86,22,80
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,manual log physical activity in the app,-,"Hi [name], fun activities ahead!","Remember, physical activity can be fun. Log your enjoyable activities in the app.",28,92,32,81
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,Perform physical activity,-,"Hello [name], fun and fitness!",Let's make your physical activity fun and enjoyable. Aim for your weekly goal.,25,84,30,78
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,manual log physical activity in the app,-,"Hi [name], fun fitness time!",Make your physical activity fun. Remember to log your enjoyable workouts in the app.,24,92,28,84
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,Perform physical activity,-,"Hi [name], let's make it fun!",Turn your physical activity into a fun challenge. Let's meet your weekly goal.,24,87,29,78
Encourage user to open app,make it fun,time insensitive,last week goal not met,disease (optional) weekly goal,manual log physical activity in the app,-,"Hi [name], enjoy the process!",Physical activity can be fun. Don't forget to log your enjoyable activities in the app.,24,94,29,87
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Perform physical activity,-,"Hi [name], let's be social!",How about inviting a friend for a walk today? It's a fun way to reach your weekly goal!,118,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Perform physical activity,-,"[name], invite a friend!",Physical activity is more fun with friends. Invite a buddy for a walk or a workout!,110,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Perform physical activity,-,"Let's get social, [name]!",Invite a friend to join you in your physical activity today. It's fun and motivating!,114,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Perform physical activity,-,"[name], team up!",Physical activity can be more enjoyable with a friend. Why not invite someone to join you today?,120,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Perform physical activity,-,"[name], let's involve friends!",Make your physical activity a social event. Invite a friend for a walk or a workout!,114,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Manual log physical activity in the app,-,"[name], log your progress!",Remember to log your physical activity. Share your progress with a friend for extra motivation!,122,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Manual log physical activity in the app,-,"Time to log, [name]!",Logging your physical activity is important. Share your progress with a friend to keep you motivated!,124,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Manual log physical activity in the app,-,"[name], track your steps!",Don't forget to log your physical activity. Share your achievements with a friend for extra fun!,118,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Manual log physical activity in the app,-,"Hi [name], time to log!",Remember to log your physical activity. Sharing your progress with a friend can be motivating!,116,,,
Encourage user to open app,Make it social,time insensitive,same weekly goal kept,-,Manual log physical activity in the app,-,"[name], log your activity!",Logging your physical activity is key. Share your progress with a friend for added motivation!,118,,,
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,Perform physical activity,-,"Hi [name], remember last week?",You met your goal last week. Let's do it again this week. Start with today's activity.,27,90,30,86
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,manual log physical activity in the app,-,"Hi [name], keep the momentum!",You achieved your goal last week. Keep the momentum going by logging your activity in the app.,27,103,29,94
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,Perform physical activity,-,"Hello [name], let's repeat success!",Last week you met your goal. Let's repeat that success this week. Start with today's activity.,29,98,35,94
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,manual log physical activity in the app,-,"Hi [name], let's keep it up!",You met your goal last week. Let's keep it up. Log your activity in the app.,23,83,28,76
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,Perform physical activity,-,"Hi [name], let's do it again!",You achieved your goal last week. Let's do it again this week. Start with today's activity.,25,95,29,91
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,manual log physical activity in the app,-,"Hi [name], maintain the streak!",You met your goal last week. Maintain the streak by logging your activity in the app.,27,92,31,85
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,Perform physical activity,-,"Hello [name], let's continue the success!",You met your goal last week. Let's continue the success this week. Start with today's activity.,31,99,41,95
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,manual log physical activity in the app,-,"Hi [name], keep the streak alive!",You achieved your goal last week. Keep the streak alive by logging your activity in the app.,27,94,33,92
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,Perform physical activity,-,"Hi [name], let's replicate success!",You achieved your goal last week. Let's replicate that success this week. Start with today's activity.,28,102,35,102
Encourage user to open app,reference last weeks success as a motivator1,time insensitive,last week goal met & same weekly goal kept,-,manual log physical activity in the app,-,"Keep Going, [name]!",You met your goal last week - fantastic! Maintain your streak by recording your activity in the app today.,27,94,19,106
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,Perform physical activity,-,"Hi [name], remember last week?",You met your goal last week and even increased it. Let's meet this new goal starting with today's activity.,27,115,30,107
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,manual log physical activity in the app,-,"Hi [name], keep the momentum!",You achieved your goal last week and even raised it. Keep the momentum going by logging your activity in the app.,27,117,29,113
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,Perform physical activity,-,"Hello [name], let's repeat success!",Last week you met your goal and even increased it. Let's repeat that success this week. Start with today's activity.,29,114,35,116
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,manual log physical activity in the app,-,"Hi [name], let's keep it up!",You met your goal last week and even raised it. Let's keep it up. Log your activity in the app.,23,97,28,95
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,Perform physical activity,-,"Hi [name], let's do it again!",You achieved your goal last week and even raised it. Let's do it again this week. Start with today's activity.,25,109,29,110
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,manual log physical activity in the app,-,"Hi [name], maintain the streak!",You met your goal last week and even increased it. Maintain the streak by logging your activity in the app.,27,106,31,107
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,Perform physical activity,-,"Hello [name], let's continue the success!",You met your goal last week and even raised it. Let's continue the success this week. Start with today's activity.,31,113,41,114
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,manual log physical activity in the app,-,"Hi [name], keep the streak alive!",You achieved your goal last week and even raised it. Keep the streak alive by logging your activity in the app.,27,108,33,111
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,Perform physical activity,-,"Hi [name], let's reach new heights!",You achieved your goal last week and even set a higher one. Let's reach these new heights starting with today's activity.,28,116,35,121
Encourage user to open app,reference last weeks success as a motivator2,time insensitive,last week goal met & weekly goal increased,-,manual log physical activity in the app,-,"Hi [name], aim higher!",You met your goal last week and set a higher one this week. Log your activity in the app and let's aim higher together!,20,123,22,119
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,Perform physical activity,-,"Hi [name], keep going!",You've met your weekly goal 3 times in a row. Keep up the good work and continue with today's activity.,18,109,22,103
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,manual log physical activity in the app,-,"Hi [name], track your progress!",You've consistently met your weekly goal. Log your activity in the app and see how you're moving towards your overall goal.,26,117,31,123
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,Perform physical activity,-,"Hello [name], you're on a roll!",You've met your weekly goal 3 times in a row. Let's keep the streak alive with today's activity.,25,98,31,96
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,manual log physical activity in the app,-,"Hi [name], keep the streak alive!",You're doing great by consistently meeting your weekly goal. Log your activity in the app and keep the streak alive.,27,108,33,116
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,Perform physical activity,-,"Hi [name], let's keep up the momentum!",You've met your weekly goal 3 times in a row. Maintain the momentum with today's activity.,29,98,38,90
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,manual log physical activity in the app,-,"Hi [name], track your success!",You've consistently met your weekly goal. Log your activity in the app and track your success towards your overall goal.,26,113,30,120
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,Perform physical activity,-,"Hello [name], keep pushing forward!",You've met your weekly goal 3 times in a row. Keep pushing forward with today's activity.,28,92,35,89
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,manual log physical activity in the app,-,"Hi [name], keep the momentum going!",You're doing great by consistently meeting your weekly goal. Log your activity in the app and keep the momentum going.,28,110,35,118
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,Perform physical activity,-,"Hi [name], let's keep the streak!",You've met your weekly goal 3 times in a row. Let's keep the streak going with today's activity.,24,95,33,96
Encourage user to open app,see how your progress is moving you towards your overall goal,time insensitive,weekly goal met 3x in a row,-,manual log physical activity in the app,-,"Hi [name], track your progress!",You've consistently met your weekly goal. Log your activity in the app and track your progress towards your overall goal.,26,113,31,121
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,Perform physical activity,-,"Hi [name], keep going!",You've met your weekly goal early. Keep up the good work and continue with today's activity.,18,92,22,92
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,manual log physical activity in the app,-,"Hi [name], track your progress!",You've met your weekly goal early. Log your activity in the app and see how you're moving towards your overall goal.,26,114,31,116
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,Perform physical activity,-,"Hello [name], you're on a roll!",You've met your weekly goal early. Let's keep the streak alive with today's activity.,25,97,31,85
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,manual log physical activity in the app,-,"Hi [name], keep the streak alive!",You're doing great by meeting your weekly goal early. Log your activity in the app and keep the streak alive.,27,107,33,109
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,Perform physical activity,-,"Hi [name], let's keep up the momentum!",You've met your weekly goal early. Maintain the momentum with today's activity.,29,97,38,79
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,manual log physical activity in the app,-,"Hi [name], track your success!",You've met your weekly goal early. Log your activity in the app and track your success towards your overall goal.,26,113,30,113
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,manual log physical activity in the app,-,"Hi [name], keep the momentum going!",You're doing great by meeting your weekly goal early. Log your activity in the app and keep the momentum going.,28,107,35,111
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,Perform physical activity,-,"Hi [name], let's keep the streak!",You've met your weekly goal early. Let's keep the streak going with today's activity.,24,90,33,85
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,manual log physical activity in the app,-,"Hi [name], track your progress!",You've met your weekly goal early. Log your activity in the app and track your progress towards your overall goal.,26,113,31,114
Encourage user to open app,see how your progress is moving you towards your reason for being on the app,weekly goal met,goal met this week (early)? goal chosen during onboarding= lose weight OR increase PA,-,Perform physical activity,-,"Hi [name], let's reach new heights!",You've met your weekly goal early. Let's reach new heights starting with today's activity.,28,96,35,90
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,Perform physical activity,-,"Hi [name], let's celebrate!",You met your goal last week. Let's celebrate this achievement by continuing with today's activity.,23,103,27,98
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,manual log physical activity in the app,-,"Hi [name], share your success!",You achieved your goal last week. Log your activity in the app and share your success with others.,26,97,30,98
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,Perform physical activity,-,"Hello [name], keep up the good work!",You've met your goal last week. Keep up the good work and continue with today's activity.,30,92,36,89
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,manual log physical activity in the app,-,"Hi [name], let's keep the momentum!",You achieved your goal last week. Log your activity in the app and let's keep the momentum going.,28,98,35,97
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,Perform physical activity,-,"Hi [name], let's aim higher!",You met your goal last week. Let's aim higher and continue with today's activity.,22,82,28,81
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,manual log physical activity in the app,-,"Hi [name], track your progress!",You've achieved your goal last week. Log your activity in the app and track your progress.,26,90,31,90
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,Perform physical activity,-,"Hello [name], you're doing great!",You've met your goal last week. Let's continue this great work with today's activity.,28,91,33,85
Encourage user to open app,share the good news!,time insensitive,last week goal met,-,manual log physical activity in the app,-,"Hi [name], celebrate your success!",You achieved your goal last week. Log your activity in the app and celebrate your success.,29,96,34,90
