Notification Header,Notification Body,hebrew header Suggestion,Hebrew Body Suggestion,number
"Hi [name], at the supermarket? 🛒","Food labels can be tricky. Look for products low in sugar, saturated fat & salts 🏷️.","היי [שם], בסופרמרקט?","תוויות אוכל יכולות להיות מסובכות. חפש מוצרים דלים בסוכר, שומן רווי ומלח.",11
"Hi [name], pantry prep time? 🥫","Keeping your pantry stocked with healthy items like grains, beans & nuts can set you up for healthy meals 🥜.","היי [שם], ממלאים את המזווה?","שמירה על המזווה שלך מצויד בפריטים בריאים כמו דגנים, שעועית ואגוזים יכולים לגרום לך לאכול בריא יותר.",12
"Hi [name], planning your meals? 📝",Meal planning is everything! Try to plan dinners ahead to avoid last-minute fast foods 🍔.,"היי [שם], מתכנן את הארוחות שלך?",תכנון ארוחות הוא הכל! נסה לתכנן ארוחות ערב קדימה כדי להימנע ממזון מהיר ברגע האחרון.,13
"Hi [name], checking the facts? 🧐",Read the facts on your food! As a rule of thumb - the fewer the ingredients the better 🏷️.,"היי [שם], בודק את התוויות?",קרא את התוויות על האוכל שלך! ככלל אצבע - כמה שפחות מרכיבים - יותר טוב.,14
"Hi [name], exploring the store? 🛒",Did you ever notice that healthier food options are found around the perimeter of shops? Stick to the healthy area 🥦.,"היי [שם], משוטט בחנות?",האם שמת לב שאפשרויות המזון הבריאות נמצאות באגפים מסויימים בחנויות? היצמד לאזור הבריא.,15
"Hi [name], fruit cravings? 🍎",Avoid the usual blood sugar spike by adding a handful of nuts to your meal 🥜.,"היי [שם], בא לך פרי?",הימנע מקפיצה ברמת הסוכר בדם על ידי הוספת קומץ אגוזים לארוחה.,16
"Hi [name], looking for protein? 🥩",Lean meat or fish are low in carbs & can be the source of your protein and omega-3’s 🐟.,"היי [שם], מחפש חלבונים?","בשר או דגים רזים, דלים בפחמימות ויכולים להיות המקור שלך לחלבון ולאומגה 3.",17
"Hi [name], whole grains? 🌾","Whole grains are the real deal. Stock up on quinoa, brown rice and oats to add complex carbs to any meal 🍚.","היי [שם], דגנים מלאים?","דגנים מלאים הם העסקה האמיתית. דאג שיהיו לך בבית קינואה, אורז חום ושיבולת שועל, כדי להוסיף פחמימות מורכבות לכל ארוחה.",18
"Hi [name], planning your weekly menu? 📝",Map out your weekly menu. Plan your meals ahead of time to avoid stress while following a healthy diet 🥗.,"היי [שם], מתכנן את התפריט השבועי שלך?","כדאי למפות את התפריט השבועי שלך. תכנן את הארוחות שלך לפני הזמן כדי למנוע לחץ תוך, כדי תזונה בריאה.",19
"Hi [name], taste the rainbow? 🌈",Plan your meals accordingly. Choose colorful fruits and veggies to balance your nutrients 🍎🥦.,"היי [שם], רוצה לטעום את צבעי הקשת?",תכנן את הארוחות שלך בהתאם. בחר פירות וירקות צבעוניים כדי לאזן את התזונה שלך.,20
"Hi [name], how's the gym? 🏋️",How’s your activity today? Keep us updated on your progress 📈.,"היי [שם], איך חדר הכושר?",איך הפעילות שלך היום? עדכן אותנו על ההתקדמות שלך.,21
"Hi [name], done with your workout? 💪",Don’t forget to report on all your daily activity so your goals stay up-to-date 📝.,"היי [שם], סיימת עם האימון שלך?","אל תשכח לדווח על כל הפעילות היומית שלך, כך שהיעדים שלך ישארו מעודכנים.",22
"Hi [name], working on your goals? 🎯",Remember to report on any activity that we don’t track so we update your goal 📊.,"היי [שם], עובד על המטרות שלך?","זכור לדווח על כל פעילות שאנחנו לא עוקבים אחריה אוטומטית, כדי שנעדכן את העמידה שלך ביעדים.",23
"Hi [name], tracking your progress? 📈","Keep your activity log up to date, and we’ll celebrate your success 🎉.","היי [שם], עוקב אחר ההתקדמות שלך?","שמור על הפעילות הגופנית שלך מעודכנת, ואנחנו נחגוג את ההצלחה שלך.",24
"Hi [name], finished your workout? 💪",Don’t forget to report on all your daily activity. It’ll help us keep your goals in check 🎯.,"היי [שם], סיימת את האימון שלך?",אל תשכח לדווח על כל הפעילות היומית שלך. זה יעזור לנו לבדוק שאתה שומר על היעדים שלך.,25
"Hi [name], working up a sweat? 💦",Physical activity can quickly dehydrate the body. Here’s a tip - keep a water bottle nearby and you won’t have to worry! 🚰,"היי [שם], עובד קשה?",פעילות גופנית יכולה לייבש את הגוף במהירות. הנה טיפ - שמור בקבוק מים בקרבת מקום והסר דאגה מלבך!,26
"Hi [name], ready to stretch? 🧘","Add some stretches into your day, it’s good for both your physical and mental health 🌈.","היי [שם], מוכן למתיחות?","הוסף כמה מתיחות ליום שלך, זה טוב לבריאות הגופנית והנפשית שלך.",27
"Hi [name], keeping up the routine? 🏋️",We’re glad you are making activity a part of your regular routine. Keep up the good work! 👍,"היי [שם], שמור על השגרה?",אנו שמחים שאתה הופך את הפעילות לחלק מהשגרה הרגילה שלך. המשך כך!,28
"Hi [name], you're doing great! 🎉",We’re proud of your hard work with us so far. Reward yourself tonight! 🎁,"היי [שם], אתה מצליח!",אנו גאים בעבודה הקשה שעשית איתנו עד כה. תגמל את עצמך הערב!,29
"Hi [name], great job! 👏","Building habits takes time, and we’re here to support you along this journey. 🚀","היי [שם], עבודה נהדרת!",בניית הרגלים לוקחת זמן ואנחנו כאן כדי לתמוך בך במהלך המסע הזה.,30
